,Pos,Team,Weighted Matches,Points,Rating
0,1,England,54,"6,745",125
1,2,India,58,"7,071",122
2,3,New Zealand,43,"4,837",112
3,4,Australia,50,"5,543",111
4,5,South Africa,47,"5,193",110
5,6,Pakistan,51,"5,019",98
6,7,Bangladesh,46,"3,963",86
7,8,Sri Lanka,56,"4,520",81
8,9,West Indies,49,"3,740",76
9,10,Afghanistan,40,"2,359",59
10,11,Ireland,29,"1,466",51
11,12,Zimbabwe,35,"1,538",44
12,13,Netherlands,6,222,37
13,14,Scotland,15,534,36
14,15,Namibia,8,183,23
15,16,Oman,8,174,22
16,17,Nepal,8,152,19
17,18,United States,8,115,14
18,19,UAE,15,144,10
19,20,Papua New Guinea,17,0,0
